user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
Timka1998,10,23:52,2016,48:49,2014,1:53:56,2016,,,408 mi,48,63 hrs,"24,624 ft"
Wandalka,10,22:55,2017,47:31,2017,2:20:36,2017,5:16:14,2017,"2,157 mi",477,460 hrs,"174,422 ft"
Mireccc,9,19:29,2017,39:20,2016,1:27:37,2016,,,"2,055 mi",737,340 hrs,"78,127 ft"
dominikaron,11,,,1:40:32,2015,1:40:32,2015,,,663 mi,202,190 hrs,"68,793 ft"
RedajLubo,11,19:13,2017,43:00,2016,1:26:18,2017,3:29:43,2016,"3,028 mi",416,393 hrs,"253,288 ft"
elka.kostka,11,25:51,2014,54:12,2016,2:10:53,2014,,,923 mi,188,169 hrs,"50,483 ft"
joluska,11,24:54,2017,50:36,2014,2:19:16,2017,3:49:28,2014,"1,526 mi",174,365 hrs,"205,240 ft"
Duuskoo,10,16:39,2018,38:02,2018,2:07:49,2016,,,"1,912 mi",325,330 hrs,"211,924 ft"
david.ugray,11,23:26,2016,54:35,2015,2:02:34,2016,,,611 mi,110,102 hrs,"40,386 ft"
chupco,11,18:47,2015,38:13,2015,1:29:37,2015,,,"2,146 mi",518,346 hrs,"194,444 ft"
KrivdaTomas,11,17:10,2016,39:40,2016,1:32:16,2016,,,"1,264 mi",335,207 hrs,"113,639 ft"
Vojcek,11,15:13,2011,32:07,2012,1:18:38,2015,4:18:54,2014,"2,138 mi",422,397 hrs,"217,330 ft"
mirec.pilat,11,20:04,2015,38:07,2015,1:28:02,2015,,,,,,
jopy79,11,20:39,2016,42:53,2017,1:39:14,2017,3:31:03,2017,"1,269 mi",182,173 hrs,"28,745 ft"
KrisKiss,11,21:56,2015,49:14,2015,1:56:25,2014,4:26:05,2014,23 mi,3,4 hrs,"1,211 ft"
michal.4x4,11,17:35,2015,36:01,2015,1:18:28,2015,2:55:35,2017,"2,346 mi",281,343 hrs,"198,383 ft"
MilosPopovic,11,19:13,2016,38:49,2013,1:23:54,2017,3:11:03,2016,"3,213 mi",484,466 hrs,"63,465 ft"
MonikaKol,11,24:51,2017,49:15,2016,1:51:03,2017,,,"1,915 mi",291,315 hrs,"141,961 ft"
peter-run4ever,11,21:28,2015,46:33,2015,1:42:27,2015,,,637 mi,76,130 hrs,"286,441 ft"
7bef2ff8-1b99-41c4-9fdc-5994cb270b6a,11,22:58,2017,47:29,2017,1:46:21,2017,,,906 mi,135,128 hrs,"55,813 ft"
jana.fottova,11,21:15,2014,47:09,2014,2:03:32,2015,4:24:22,2015,107 mi,35,20 hrs,"1,427 ft"
martin_milo,11,19:49,2016,41:00,2017,1:28:57,2017,3:13:28,2017,"2,317 mi",217,257 hrs,"47,964 ft"
sanderschulze,11,,,41:11,2014,1:22:46,2015,2:59:57,2016,"1,582 mi",348,360 hrs,"12,900 ft"
Energi-Ounce,11,16:58,2017,35:02,2017,1:17:16,2017,2:39:53,2017,"3,058 mi",529,346 hrs,"44,632 ft"
MisaCanicrosser,11,16:24,2015,33:56,2015,1:13:10,2016,,,"1,886 mi",271,283 hrs,"165,348 ft"
EliskaNam,11,26:57,2016,58:53,2016,2:15:01,2016,,,870 mi,255,238 hrs,"44,273 ft"
MarianMicek,10,19:04,2016,40:41,2015,1:30:36,2017,,,"6,090 mi",356,520 hrs,"131,351 ft"
ranostajj,11,21:03,2014,45:10,2015,1:43:38,2015,3:42:19,2015,51 mi,16,9 hrs,308 ft
barbi_zzs,11,25:08,2017,52:41,2016,2:02:27,2017,,,"1,108 mi",194,192 hrs,"88,535 ft"
81181f10-8296-45a8-8cf6-f1c904c76b94,11,20:42,2017,43:37,2018,1:36:11,2017,,,"1,919 mi",281,236 hrs,"80,246 ft"
MatSaj1990,11,19:29,2017,40:00,2017,1:35:01,2016,3:42:18,2017,"2,098 mi",182,216 hrs,"41,070 ft"
Mima35,11,20:52,2017,47:00,2017,1:50:51,2017,,,"1,565 mi",555,380 hrs,"19,026 ft"
SyskaValova,10,17:54,2017,38:45,2017,1:30:21,2017,,,"5,020 mi",816,733 hrs,"242,982 ft"
Kosiba,11,17:56,2015,,,1:20:58,2016,3:22:45,2015,"2,805 mi",349,368 hrs,"185,850 ft"
luborus,11,,,45:31,2012,1:43:58,2012,4:13:00,2013,476 mi,75,78 hrs,"7,917 ft"
MajkaSs,11,25:07,2014,51:28,2014,1:57:09,2015,,,"4,575 mi",307,616 hrs,"391,125 ft"
MariaanVarga,11,20:32,2017,46:20,2017,1:43:42,2017,,,"1,656 mi",191,265 hrs,"22,638 ft"
matejpalenik,11,17:13,2015,35:10,2017,1:19:30,2016,2:58:01,2017,"9,736 mi",1102,961 hrs,"425,128 ft"
vsopko,11,16:53,2016,35:09,2016,1:23:57,2015,,,"1,915 mi",194,243 hrs,"78,610 ft"
ironjarda,11,18:48,2016,38:48,2016,1:25:14,2016,3:09:40,2016,"7,344 mi",528,547 hrs,"325,311 ft"
Steve_NON-STOP,10,19:33,2016,40:15,2015,1:31:25,2016,8:01:40,2015,"1,403 mi",421,279 hrs,"50,105 ft"
pracho,11,,,45:46,2015,1:38:38,2015,3:24:11,2015,0 mi,0,0 hrs,0 ft
PeterJurickogarmin,11,22:38,2015,47:41,2014,2:08:21,2014,8:21:07,2015,0 mi,0,0 hrs,0 ft
MARASlovensko,11,21:50,2016,52:52,2016,2:01:09,2016,,,"1,384 mi",131,181 hrs,"92,399 ft"
pvranay,11,22:19,2017,46:36,2016,1:43:14,2016,,,"3,837 mi",262,388 hrs,"329,056 ft"
gevenducha,4,23:13,2014,48:14,2013,1:44:41,2014,3:43:57,2014,"1,139 mi",120,185 hrs,"27,020 ft"
janouchovajana,5,,,51:37,2014,1:53:37,2015,4:14:04,2014,"3,334 mi",300,386 hrs,"151,894 ft"
-PaU!!-GuerrerO,11,25:07,2015,,,1:56:42,2015,,,0 mi,0,0 hrs,0 ft
Alitalamasbonita,11,25:21,2017,54:13,2017,2:01:54,2013,,,"1,467 mi",127,143 hrs,"8,048 ft"
anaenescalamx,11,23:52,2015,52:29,2016,1:52:01,2015,3:47:55,2015,170 mi,47,36 hrs,"2,869 ft"
Analuneta,11,6:16.1,2015,46:42,2016,1:40:50,2016,3:30:11,2016,"1,214 mi",243,246 hrs,"57,536 ft"
florjaguayana,11,24:13,2016,49:39,2017,1:51:40,2015,4:22:26,2016,801 mi,429,225 hrs,"29,074 ft"
